# 0:Mvir[Msun/h] 1:sigma(M,0) 2:sigma(M_f,0)(f=0.50) 3:z 4:D(z) 5:D(z_f)_simfit 6:D(z_f)_eps(f=0.50) 7:D(z_f)_eps(f=0.16) 8:c_simfit 9:c_eps(f=0.50) 10:c_eps(f=0.16) 11:M_hm[Msun/h]
4.746000e-03 8.686088 8.686089 0.000 1.000000 0.363821 0.998149 0.997385 26.400365 74.225679 74.165829 0.000000e+00
4.538000e-03 8.686088 8.686090 0.000 1.000000 0.363801 0.997385 0.997385 26.398900 74.165829 74.165829 0.000000e+00
4.339000e-03 8.686089 8.686089 0.000 1.000000 0.363780 1.000000 0.998149 26.397445 74.370574 74.225688 0.000000e+00
4.149000e-03 8.686089 8.686089 0.000 1.000000 0.363760 1.000000 1.000000 26.395997 74.370574 74.370574 0.000000e+00
3.968000e-03 8.686088 8.686089 0.000 1.000000 0.363740 0.998149 0.997385 26.394559 74.225679 74.165829 0.000000e+00
3.794000e-03 8.686089 8.686090 0.000 1.000000 0.363720 0.998149 0.997385 26.393127 74.225688 74.165838 0.000000e+00
3.628000e-03 8.686089 8.686090 0.000 1.000000 0.363700 0.998149 0.998149 26.391704 74.225688 74.225688 0.000000e+00
3.469000e-03 8.686089 8.686089 0.000 1.000000 0.363680 1.000000 0.997385 26.390285 74.370574 74.165838 0.000000e+00
3.317000e-03 8.686089 8.686089 0.000 1.000000 0.363660 1.000000 0.997385 26.388875 74.370574 74.165838 0.000000e+00
3.172000e-03 8.686089 8.686090 0.000 1.000000 0.363641 0.998149 0.997385 26.387475 74.225688 74.165838 0.000000e+00
3.033000e-03 8.686089 8.686090 0.000 1.000000 0.363621 0.998149 0.998149 26.386079 74.225688 74.225688 0.000000e+00
2.901000e-03 8.686089 8.686090 0.000 1.000000 0.363602 0.998149 0.997385 26.384701 74.225688 74.165838 0.000000e+00
2.774000e-03 8.686090 8.686090 0.000 1.000000 0.363583 1.000000 1.000000 26.383324 74.370583 74.370583 0.000000e+00
2.652000e-03 8.686090 8.686090 0.000 1.000000 0.363563 1.000000 0.998149 26.381946 74.370583 74.225697 0.000000e+00
2.536000e-03 8.686089 8.686090 0.000 1.000000 0.363544 0.998149 0.998149 26.380580 74.225688 74.225688 0.000000e+00
2.425000e-03 8.686089 8.686089 0.000 1.000000 0.363525 1.000000 1.000000 26.379223 74.370574 74.370574 0.000000e+00
2.319000e-03 8.686089 8.686090 0.000 1.000000 0.363506 0.998149 0.998149 26.377875 74.225688 74.225688 0.000000e+00
2.218000e-03 8.686089 8.686091 0.000 1.000000 0.363488 0.997385 0.997385 26.376539 74.165838 74.165838 0.000000e+00
2.121000e-03 8.686090 8.686090 0.000 1.000000 0.363469 1.000000 0.998149 26.375208 74.370583 74.225697 0.000000e+00
2.028000e-03 8.686090 8.686090 0.000 1.000000 0.363450 1.000000 1.000000 26.373877 74.370583 74.370583 0.000000e+00
1.939000e-03 8.686089 8.686091 0.000 1.000000 0.363432 0.997385 0.996799 26.372549 74.165838 74.119979 0.000000e+00
1.854000e-03 8.686089 8.686090 0.000 1.000000 0.363414 0.998149 0.996799 26.371233 74.225688 74.119979 0.000000e+00
1.773000e-03 8.686090 8.686090 0.000 1.000000 0.363395 1.000000 0.996799 26.369932 74.370583 74.119988 0.000000e+00
1.695000e-03 8.686089 8.686091 0.000 1.000000 0.363377 0.997385 0.998149 26.368622 74.165838 74.225688 0.000000e+00
1.621000e-03 8.686090 8.686091 0.000 1.000000 0.363359 0.998149 0.997385 26.367336 74.225697 74.165847 0.000000e+00
1.550000e-03 8.686090 8.686091 0.000 1.000000 0.363341 0.998149 1.000000 26.366049 74.225697 74.370583 0.000000e+00
1.482000e-03 8.686091 8.686091 0.000 1.000000 0.363323 1.000000 0.998149 26.364770 74.370592 74.225706 0.000000e+00
1.417000e-03 8.686090 8.686091 0.000 1.000000 0.363305 0.998149 1.000000 26.363492 74.225697 74.370583 0.000000e+00
1.355000e-03 8.686090 8.686092 0.000 1.000000 0.363287 0.997385 0.997385 26.362227 74.165847 74.165847 0.000000e+00
